번호,제목,저자,출판사,출판일,Column1
31.0,,,,,"Frahm  J ,Boretius  S ,Watanabe  T ,Michaelis  T . ""Magnetic resonance imaging of animal brain in vivo"" ALTEX. Alternatives to Animal Experimentation : 110-114.
"
32.0,,,,,"Dijkstra  J ,Kebreab  E ,Mills  J  A  N ,Pellikaan  W  F ,Lopez  S ,Bannink  A ,France  J . ""Predicting the profile of nutrients available for absorption: from nutrient requirement to animal response and environmental impact"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 99-112.
"
33.0,,,,,"Mackey  D  R ,Gordon  A  W ,McCoy  M  A ,Verner  M ,Mayne  C  S . ""Associations between genetic merit for milk production and animal parameters and the fertility performance of dairy cows"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 29-44.
"
34.0,,,,,"Davis  Grace H ,Crofoot  Margaret C ,Farine  Damien R . ""Estimating the robustness and uncertainty of animal social networks using different observational methods"" Animal Behaviour : 29-44.
"
35.0,,,,," ""Accura to focus exclusively on animal health"" ANIMAL PHARM : 5.
"
36.0,,,,," ""Spain to spend more than EURO12m on animal disease"" ANIMAL PHARM : 18.
"
37.0,,,,," ""Panama to prevent animal diseases"" ANIMAL PHARM : 16.
"
38.0,,,,," ""Mexico to set up diagnostic center for animal diseases"" ANIMAL PHARM : 16.
"
39.0,,,,,"Cervinka  M ,Rudolf  E ,Cervinkova  Z . ""Alternatives to animal experimentation in undergraduate curricula at medical schools - analysis of current trends in the Czech Republic"" ALTEX. Alternatives to Animal Experimentation : 46-50.
"
40.0,,,,,"Lahl  U . ""Strategy for minimising the use of animal testing as part of REACH"" ALTEX. Alternatives to Animal Experimentation : 208-213.
"
41.0,,,,,"Wood  M W ,Hart  L A . ""Considering animal alternatives and welfare via a comprehensive search of the scientific literature"" ALTEX. Alternatives to Animal Experimentation : 197-199.
"
42.0,,,,," ""Poor farmers gain greater access to animal disease treatments"" ANIMAL PHARM : 17-17.
"
43.0,,,,,"Rodr챠guez  Carmen,Saborido  Neus,R처denas  Jesus,Polo  Javier. ""Effects of spray-dried animal plasma on food intake and apparent nutrient digestibility by cats when added to a wet pet food recipe"" Animal feed science and technology : 243-250.
"
44.0,,,,,"Larson  J A . ""The animal welfare information center: Helping the community meet the information requirement of the 3Rs"" ALTEX. Alternatives to Animal Experimentation : 192-196.
"
45.0,,,,,"Zhu  Yan,Hassan  Yousef I ,Watts  Christena,Zhou  Ting. ""Innovative technologies for the mitigation of mycotoxins in animal feed and ingredients?볾 review of recent patents"" Animal feed science and technology : 19-29.
"
46.0,,,,,"Doeschl-Wilson  A  B ,Knap  P  W ,Kinghorn  B  P ,Van der Steen  H  A  M . ""Using mechanistic animal growth models to estimate genetic parameters of biological traits Nutrition"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 489-500.
"
47.0,,,,,"B철ttger  C ,S체dekum  K -H . ""Review: protein value of distillers dried grains with solubles (DDGS) in animal nutrition as affected by the ethanol production process"" Animal feed science and technology : 11-17.
"
48.0,,,,," ""Wockhardt - unfazed by challenges in the Indian animal health sector"" ANIMAL PHARM : 12-13.
"
49.0,,,,,"Borgia  Gerald,Ball  Gregory F . ""The evolution of beauty: how Darwin's forgotten theory of mate choice shapes the animal world?봞nd us"" Animal Behaviour : 187-188.
"
50.0,,,,,"Ogden  E  R ,Weigel  K . ""Can you shrinkwrap a cow? Protections available for the intellectual property of the animal breeding industry"" Animal genetics : 647-654.
"
51.0,,,,," ""IFAH Pet Night: the animal cause"" ANIMAL PHARM : 14.
"
52.0,,,,," ""Global cooperation needed to advance animal health"" ANIMAL PHARM : 12-13.
"
53.0,,,,,"Malek   Lenka,Umberger   Wendy J ,Rolfe   John. ""Segmentation of Australian meat consumers on the basis of attitudes regarding farm animal welfare and the environmental impact of meat production"" Animal Production Science : 424-434.
"
54.0,,,,,"Breed  M ,Barrett  L . ""In Focus:Featured Articles in This Month's Animal Behaviour"" Animal Behaviour : 1605-1606.
"
55.0,,,,,"Buddle   E  A ,Bray   H  J ,Pitchford   W  S . ""Keeping it `inside the fence': an examination of responses to a farm-animal welfare issue on Twitter"" Animal Production Science : 435-444.
"
56.0,,,,," ""Chile and South Korea collaborate on animal health"" ANIMAL PHARM : 10.
"
57.0,,,,," ""Brazil plans to modernize animal product inspections"" ANIMAL PHARM : 10.
"
58.0,,,,," ""New animal pain management manual"" ANIMAL PHARM : 7.
"
59.0,,,,," ""Animal health guide launched"" ANIMAL PHARM : 6.
"
60.0,,,,,"Gatford   K  L ,Roberts   C  T ,Kind   K  L ,Hynd   P  I . ""Off to the right start: how pregnancy and early life can determine future animal health and production"" Animal Production Science : 459-475.
"
61.0,,,,," ""Wood Mackenzie's animal health business sold"" ANIMAL PHARM : 3.
"
62.0,,,,," ""Partnership boosts animal identification"" ANIMAL PHARM : 11.
"
63.0,,,,," ""Plan for exotic animal diseases submitted in UK"" ANIMAL PHARM : 15.
"
64.0,,,,," ""USDA drafts plan for animal tracing system"" ANIMAL PHARM : 11.
"
65.0,,,,,"Sender   Gra탉yna,Pawlik   Adrianna,Korwin-Kossakowska   Agnieszka. ""Current concepts on the impact of coagulase-negative staphylococci causing bovine mastitis as a threat to human and animal health ??a review"" ANIMAL SCIENCE PAPERS AND REPORTS : 123-136.
"
66.0,,,,,"Dunis흢awska   Aleksandra,흟achma흦ska   Jagoda,S흢awi흦ska   Anna,Siwek   Maria. ""Next generation sequencing in animal science ??a review"" ANIMAL SCIENCE PAPERS AND REPORTS : 205-224.
"
67.0,,,,," ""MBO for Wood Mackenzie's animal health division"" ANIMAL PHARM : 1-2.
"
68.0,,,,,"Palmer  A . ""MRC animal technician training - a report from PIG"" ANIMAL TECHNOLOGY AND WELFARE : 137-140.
"
69.0,,,,,"Smith  S C ,Phillips  I . ""The reduction in animal usage by multiple antigen immunisation schedules"" ANIMAL TECHNOLOGY AND WELFARE : 87-92.
"
70.0,,,,,"Shurson  G C . ""Yeast and yeast derivatives in feed additives and ingredients: Sources, characteristics, animal responses, and quantification methods"" Animal feed science and technology : 60-76.
"
71.0,,,,,"Knight  A . ""Animal experiments scrutinised: systematic reviews demonstrate poor human clinical and toxicological utility"" ALTEX. Alternatives to Animal Experimentation : 320-325.
"
72.0,,,,,"Seaman  S  C ,Waran  N  K ,Mason  G ,D'Eath  R  B . ""Animal economics: assessing the motivation of female laboratory rabbits to reach a platform, social contact and food"" Animal Behaviour : 31-42.
"
73.0,,,,,"Barrett  L ,Breed  M . ""In Focus:Featured Articles in This Month's Animal Behaviour"" Animal Behaviour : 1-2.
"
74.0,,,,," ""Europe funds the control of animal diseases"" ANIMAL PHARM : 15.
"
75.0,,,,," ""Few consumers concerned over use of animal medicines"" ANIMAL PHARM : 15.
"
76.0,,,,," ""Novus to use omega-3 ingredient in animal feed"" ANIMAL PHARM : 4.
"
77.0,,,,,"Barrett  L ,Breed  M . ""In Focus:Featured Articles in This Month's Animal Behaviour"" Animal Behaviour : 1115-1116.
"
78.0,,,,,"Zhang  Y -l ,Ren  X -h ,Liu  S -c ,Dai  J -w ,Hao  L -l ,Jiang  Q -y . ""Overexpression of GRF Encapsulated in PLGA Microspheres in Animal Skeletal Muscle Induces Body Weight Gain"" ANIMAL BIOTECHNOLOGY : 163-176.
"
79.0,,,,,"Bush  Jordan M ,Jung  Hwayoung,Connell  John P ,Freeberg  Todd M . ""Duty now for the future: a call for public outreach by animal behaviour researchers"" Animal Behaviour : 161-169.
"
80.0,,,,,"Warner  R  D ,Pethick  D  W ,Greenwood  P  L ,Ponnampalam  E  N ,Banks  R  G ,Hopkins  D  L . ""Unravelling the complex interactions between genetics, animal age and nutrition as they impact on tissue deposition, muscle characteristics and quality of Australian sheep meat"" Animal Production Science : 1229-1238.
"
81.0,,,,,"Pethick  D  W ,Warner  R  D ,Banks  R  G . ""The influence of genetics, animal age and nutrition on lamb production - an integrated research program"" Animal Production Science : 1117-1118.
"
82.0,,,,," ""Global Animal Health conference"" ANIMAL PHARM : 16.
"
83.0,,,,,"Botreau  R ,Bracke  M  B  M ,Perny  P ,Butterworth  A ,Capdeville  J ,Van Reenen  C  G ,Veissier  I . ""Aggregation of measures to produce an overall assessment of animal welfare. Part 2: analysis of constraints"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 1188-1197.
"
84.0,,,,,"Botreau  R ,Bonde  M ,Butterworth  A ,Perny  P ,Bracke  M  B  M ,Capdeville  J ,Veissier  I . ""Aggregation of measures to produce an overall assessment of animal welfare. Part 1: a review of existing methods"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 1179-1187.
"
85.0,,,,," ""Predicting the profile of nutrients available for absorption: from nutrient requirement to animal response and environmental impact"" ANIMAL -CAMBRIDGE UNIVERSITY PRESS- : 99-111.
"
86.0,,,,,"Smith  Jennifer E ,Estrada  Jillian R ,Richards  Heather C ,Dawes  Stephanie E ,Mitsos  Kari,Holekamp  Kay E . ""Corrigendum to ?쏞ollective movements, leadership and consensus costs at reunions in spotted hyaenas??[Animal Behaviour 105 (2015) 187??00]"" Animal Behaviour : 115.
"
87.0,,,,,"Foster  Susan A ,Sendova-Franks  Ana. ""Featured Article in This Month's Animal Behaviour"" Animal Behaviour : iii-iv.
"
88.0,,,,,"Fahey  G  C . ""Companion Animal Nutrition: An Industry Overview and a Research Update"" CALIFORNIA ANIMAL NUTRITION CONFERENCE : 160-165.
"
89.0,,,,," ""EU proposes new animal health strategy"" ANIMAL PHARM : 14.
"
90.0,,,,," ""Schering-Plough sells off animal health products in the EU"" ANIMAL PHARM : 1-2.
"
91.0,,,,," ""Companion animal welfare: raising the standards"" ANIMAL PHARM : 12-13.
"
92.0,,,,," ""Spanish pharma company targets animal health"" ANIMAL PHARM : 4.
"
93.0,,,,," ""US studies benefits of national animal ID system"" ANIMAL PHARM : 12.
"
94.0,,,,,"Pettigrew   James E . ""Essential role for simulation models in animal research and application"" Animal Production Science : 704-708.
"
95.0,,,,,"Campbell   Roger G ,Williams   Ian H . ""Nutritional principles, integration, modelling and research management to practical applications: an overview of John Langtree Black's contribution to animal science"" Animal Production Science : 601-612.
"
96.0,,,,,"Black   J  L . ""Perspectives on animal research and its application"" Animal Production Science : 756-766.
"
97.0,,,,,"Cronje   P  B . ""Essential role of methyl donors in animal productivity"" Animal Production Science : 655-665.
"
98.0,,,,,"Knight  A ,Bailey  J ,Balcombe  J . ""Cancerous contradictions: The mis-regulation of human carcinogens based on animal data"" ALTEX. Alternatives to Animal Experimentation : 445-449.
"
99.0,,,,,"Behr-Gross  M -E ,Spieser  J -M . ""Contributions of the European OMCL network and biological standardisation programme to animal welfare"" ALTEX. Alternatives to Animal Experimentation : 293-294.
"
100.0,,,,,"Gordon  I  J ,Altwegg  R ,Evans  D  M ,Ewen  J  G ,Guillera?륚rroita  G ,Johnson  J  A ,Young  J  K . ""20th anniversary editorial: animal conservation 1998-2018"" ANIMAL CONSERVATION : NA.
"
101.0,,,,," ""Global animal RFID market to grow to $6.5bn"" ANIMAL PHARM : 25-25.
"
1.0,"Peretti, A., Eberhard, W. G. & Briceno, R. D. 2006. Copulatory dialogue: female spiders sing during copulation to influence male genitalic movements. Animal Behaviour, 72, 413-421.",unknown,"Elsevier Science B.V., Amsterdam",2007.0,
2.0,2006 Animal Science Journal Excellent Paper Awards:,unknown,Blackwell Publishing Ltd.,2007.0,
3.0,The risk of contamination of food with toxic substances present in animal feed,"Kan, C. A.; Meijer, G. A.","Elsevier Science B.V., Amsterdam.",2007.0,
4.0,Use of spray-dried animal plasma in canned chunk recipes containing excess of added water or poultry fat,"Polo, J.; Rodriguez, C.; Rodenas, J.; Morera, S.; Saborido, N.","Elsevier Science B.V., Amsterdam.",2007.0,
5.0,Optimization of Solid State Fermentation of Mustard (Brassica campestris) Straw for Production of Animal Feed by White Rot Fungi (Ganoderma lucidum),"Misra, A. K.; Mishra, A. S.; Tripathi, M. K.; Prasad, R.; Vaithiyanathan, S.; Jakhmola, R. C.",THE ASIAN-AUSTRALASIAN ASSOCIATION OF ANIMAL,2007.0,
6.0,Review: Animal health and sustainable global livestock systems,B. D. Perry; T. P. Robinson; D. C. Grace,Cambridge University Press,2018.0,
7.0,Animal breeding further ameliorated:,"Maki-Tanila, A.",Blackwell Publishing Ltd,2007.0,
8.0,Review: Use of human-edible animal feeds by ruminant livestock,J. M. Wilkinson; M. R. F. Lee,Cambridge University Press,2018.0,
9.0,IFAH's Declan O'Brien talks to Animal Pharm,unknown,PJB PUBLICATIONS LTD,2007.0,
10.0,"Galef, B. G., Jr & Whiskin, E. E. 2006. Increased reliance on socially acquired information while foraging in risky situations? Animal Behaviour, 72, 1169-1176.",unknown,"Elsevier Science B.V., Amsterdam",2007.0,
11.0,Spanish animal health product exports increase,unknown,PJB PUBLICATIONS LTD,2007.0,
12.0,Lessons learnt on the analysis of large sequence data in animal genomics,"Biscarini, F.; Cozzi, P.; Orozco?릘er Wengel, P.",Wiley-Blackwell,2018.0,
13.0,Taking advantage from phenotype variability in a local animal genetic resource: identification of genomic regions associated with the hairless phenotype in casertana pigs,"Schiavo, G.; Bertolini, F.; Utzeri, V. J.; Ribani, A.; Geraci, C.; Santoro, L.; 횙vilo, C.; Fern찼ndez, A. I.; Gallo, M.; Fontanesi, L.",Wiley-Blackwell,2018.0,
14.0,Correction: Animal Health - just another niche market?,unknown,PJB PUBLICATIONS LTD,2006.0,
15.0,"Corrigendum to ""An unsuspected cost of mate familiarity: increased loss of paternity"" [Animal Behaviour, 111 (2016), 213??16]","Drummond, Hugh; Ramos, Alejandra G.; S찼nchez-Macouzet, Oscar; Rodr챠guez, Cristina","Elsevier Science B.V., Amsterdam",2016.0,
16.0,Pfizer to close animal health manufacturing plants,unknown,PJB PUBLICATIONS LTD,2007.0,
17.0,Moderated milk replacer restriction of ewe lambs alters gut immunity parameters during the pre-weaning period and impairs liver function and animal performance during the replacement phase,"Frutos, J.; Andr챕s, S.; Trevisi, E.; Benavides, J.; Santos, N.; Santos, A.; Gir찼ldez, F.J.","Elsevier Science B.V., Amsterdam.",2018.0,
18.0,New developments in the detection and identification of processed animal proteins in feeds,"van Raamsdonk, L. W.; von Holst, C.; Baeten, V.; Berben, G.; Boix, A.; de Jong, J.","Elsevier Science B.V., Amsterdam.",2007.0,
19.0,UK to enact animal welfare bill,unknown,PJB PUBLICATIONS LTD,2006.0,
20.0,Revision of a scale for assessing the severity of live animal manipulations,"Williams, V.M.; Mellor, D.J.; Marbrook, J.",Elsevier,2006.0,
21.0,Animal welfare perspectives on recreational angling,"Cooke, S. J.; Sneddon, L. U.","Elsevier Science B.V., Amsterdam.",2007.0,
22.0,Strategies to reduce animal testing in US EPA's HPV programme,"Sandusky, C.B.; Even, M.; Stoick, K.; Sandler, J.",Elsevier,2006.0,
23.0,"Very high expander processing of maize on animal performance, digestibility and product quality of finishing pigs and broilers",R. Puntigam; K. Schedle; C. Schwarz; E. Wanzenb철ck; J. Eipper; E.-M. Lechner; L. Yin; M. Gierus,Cambridge University Press,2018.0,
24.0,Education in alternatives to animal experimentation,"Kurosawa, T.M.",Elsevier,2006.0,
25.0,Challenges and opportunities of animal welfare organisations in influencing and making public policy,"Sauer, U.G.",Elsevier,2006.0,
26.0,Animal Breeding: What Does the Future Hold?,"Eisen, E. J.",THE ASIAN-AUSTRALASIAN ASSOCIATION OF ANIMAL,2007.0,
27.0,"Workshop of experts: Definition, recognition, assessment, and alleviation of animal distress in the laboratory","Conlee, K.M.; Lambert, L.A.",Elsevier,2006.0,
28.0,Refinement alternative for animal housing - enrichment,"Nevalainen, T.; Kemppinen, N.; Meller, A.",Elsevier,2006.0,
29.0,Educating the veterinary professional about animal welfare,"de Boo, J.; Knight, A.",Elsevier,2006.0,
30.0,Magnetic resonance imaging of animal brain in vivo,"Frahm, J.; Boretius, S.; Watanabe, T.; Michaelis, T.",Elsevier,2006.0,
31.0,Predicting the profile of nutrients available for absorption: from nutrient requirement to animal response and environmental impact,"Dijkstra, J.; Kebreab, E.; Mills, J. A. N.; Pellikaan, W. F.; Lopez, S.; Bannink, A.; France, J.",CAMBRIDGE UNIVERSITY PRESS,2007.0,
32.0,Associations between genetic merit for milk production and animal parameters and the fertility performance of dairy cows,"Mackey, D. R.; Gordon, A. W.; McCoy, M. A.; Verner, M.; Mayne, C. S.",CAMBRIDGE UNIVERSITY PRESS,2007.0,
33.0,Estimating the robustness and uncertainty of animal social networks using different observational methods,"Davis, Grace H.; Crofoot, Margaret C.; Farine, Damien R.","Elsevier Science B.V., Amsterdam",2018.0,
34.0,Accura to focus exclusively on animal health,unknown,PJB PUBLICATIONS LTD,2007.0,
35.0,Spain to spend more than EURO12m on animal disease,unknown,PJB PUBLICATIONS LTD,2006.0,
36.0,Panama to prevent animal diseases,unknown,PJB PUBLICATIONS LTD,2006.0,
37.0,Mexico to set up diagnostic center for animal diseases,unknown,PJB PUBLICATIONS LTD,2006.0,
38.0,Alternatives to animal experimentation in undergraduate curricula at medical schools - analysis of current trends in the Czech Republic,"Cervinka, M.; Rudolf, E.; Cervinkova, Z.",Elsevier,2006.0,
39.0,Strategy for minimising the use of animal testing as part of REACH,"Lahl, U.",Elsevier,2006.0,
40.0,Considering animal alternatives and welfare via a comprehensive search of the scientific literature,"Wood, M.W.; Hart, L.A.",Elsevier,2006.0,
41.0,Poor farmers gain greater access to animal disease treatments,unknown,PJB PUBLICATIONS LTD,2007.0,
42.0,Effects of spray-dried animal plasma on food intake and apparent nutrient digestibility by cats when added to a wet pet food recipe,"Rodr챠guez, Carmen; Saborido, Neus; R처denas, Jesus; Polo, Javier","Elsevier Science B.V., Amsterdam.",2016.0,
43.0,The animal welfare information center: Helping the community meet the information requirement of the 3Rs,"Larson, J.A.",Elsevier,2006.0,
44.0,Innovative technologies for the mitigation of mycotoxins in animal feed and ingredients?볾 review of recent patents,"Zhu, Yan; Hassan, Yousef I.; Watts, Christena; Zhou, Ting","Elsevier Science B.V., Amsterdam.",2016.0,
45.0,Using mechanistic animal growth models to estimate genetic parameters of biological traits Nutrition,"Doeschl-Wilson, A. B.; Knap, P. W.; Kinghorn, B. P.; Van der Steen, H. A. M.",CAMBRIDGE UNIVERSITY PRESS,2007.0,
46.0,Review: protein value of distillers dried grains with solubles (DDGS) in animal nutrition as affected by the ethanol production process,"B철ttger, C.; S체dekum, K.-H.","Elsevier Science B.V., Amsterdam.",2018.0,
47.0,Wockhardt - unfazed by challenges in the Indian animal health sector,unknown,PJB PUBLICATIONS LTD,2007.0,
48.0,The evolution of beauty: how Darwin's forgotten theory of mate choice shapes the animal world?봞nd us,"Borgia, Gerald; Ball, Gregory F.","Elsevier Science B.V., Amsterdam",2018.0,
49.0,Can you shrinkwrap a cow? Protections available for the intellectual property of the animal breeding industry,"Ogden, E. R.; Weigel, K.",Blackwell Publishing Ltd,2007.0,
50.0,IFAH Pet Night: the animal cause,unknown,PJB PUBLICATIONS LTD,2007.0,
51.0,Global cooperation needed to advance animal health,unknown,PJB PUBLICATIONS LTD,2007.0,
52.0,Segmentation of Australian meat consumers on the basis of attitudes regarding farm animal welfare and the environmental impact of meat production,"Malek,  Lenka; Umberger,  Wendy J.; Rolfe,  John",CSIRO PUBLISHING,2018.0,
53.0,In Focus:Featured Articles in This Month's Animal Behaviour,"Breed, M.; Barrett, L.","Elsevier Science B.V., Amsterdam",2007.0,
54.0,Keeping it `inside the fence': an examination of responses to a farm-animal welfare issue on Twitter,"Buddle,  E. A.; Bray,  H. J.; Pitchford,  W. S.",CSIRO PUBLISHING,2018.0,
55.0,Chile and South Korea collaborate on animal health,unknown,PJB PUBLICATIONS LTD,2007.0,
56.0,Brazil plans to modernize animal product inspections,unknown,PJB PUBLICATIONS LTD,2007.0,
57.0,New animal pain management manual,unknown,PJB PUBLICATIONS LTD,2007.0,
58.0,Animal health guide launched,unknown,PJB PUBLICATIONS LTD,2007.0,
59.0,Off to the right start: how pregnancy and early life can determine future animal health and production,"Gatford,  K. L.; Roberts,  C. T.; Kind,  K. L.; Hynd,  P. I.",CSIRO PUBLISHING,2018.0,
60.0,Wood Mackenzie's animal health business sold,unknown,PJB PUBLICATIONS LTD,2007.0,
61.0,Partnership boosts animal identification,unknown,PJB PUBLICATIONS LTD,2007.0,
62.0,Plan for exotic animal diseases submitted in UK,unknown,PJB PUBLICATIONS LTD,2007.0,
63.0,USDA drafts plan for animal tracing system,unknown,PJB PUBLICATIONS LTD,2008.0,
64.0,Current concepts on the impact of coagulase-negative staphylococci causing bovine mastitis as a threat to human and animal health ??a review,"Sender,  Gra탉yna; Pawlik,  Adrianna; Korwin-Kossakowska,  Agnieszka",Institute of Genetics and Animal Breeding,2017.0,
65.0,Next generation sequencing in animal science ??a review,"Dunis흢awska,  Aleksandra; 흟achma흦ska,  Jagoda; S흢awi흦ska,  Anna; Siwek,  Maria",Institute of Genetics and Animal Breeding,2017.0,
66.0,MBO for Wood Mackenzie's animal health division,unknown,PJB PUBLICATIONS LTD,2008.0,
67.0,MRC animal technician training - a report from PIG,"Palmer, A.",IAT,2007.0,
68.0,The reduction in animal usage by multiple antigen immunisation schedules,"Smith, S.C.; Phillips, I.",IAT,2007.0,
69.0,"Yeast and yeast derivatives in feed additives and ingredients: Sources, characteristics, animal responses, and quantification methods","Shurson, G.C.","Elsevier Science B.V., Amsterdam.",2018.0,
70.0,Animal experiments scrutinised: systematic reviews demonstrate poor human clinical and toxicological utility,"Knight, A.",ELSEVIER SCIENCE B.V. AMSTERDAM,2007.0,
71.0,"Animal economics: assessing the motivation of female laboratory rabbits to reach a platform, social contact and food","Seaman, S. C.; Waran, N. K.; Mason, G.; D'Eath, R. B.","Elsevier Science B.V., Amsterdam",2008.0,
72.0,In Focus:Featured Articles in This Month's Animal Behaviour,"Barrett, L.; Breed, M.","Elsevier Science B.V., Amsterdam",2008.0,
73.0,Europe funds the control of animal diseases,unknown,PJB PUBLICATIONS LTD,2007.0,
74.0,Few consumers concerned over use of animal medicines,unknown,PJB PUBLICATIONS LTD,2007.0,
75.0,Novus to use omega-3 ingredient in animal feed,unknown,PJB PUBLICATIONS LTD,2007.0,
76.0,In Focus:Featured Articles in This Month's Animal Behaviour,"Barrett, L.; Breed, M.","Elsevier Science B.V., Amsterdam",2007.0,
77.0,Overexpression of GRF Encapsulated in PLGA Microspheres in Animal Skeletal Muscle Induces Body Weight Gain,"Zhang, Y.-l.; Ren, X.-h.; Liu, S.-c.; Dai, J.-w.; Hao, L.-l.; Jiang, Q.-y.",Taylor &amp; Francis,2007.0,
78.0,Duty now for the future: a call for public outreach by animal behaviour researchers,"Bush, Jordan M.; Jung, Hwayoung; Connell, John P.; Freeberg, Todd M.","Elsevier Science B.V., Amsterdam",2018.0,
79.0,"Unravelling the complex interactions between genetics, animal age and nutrition as they impact on tissue deposition, muscle characteristics and quality of Australian sheep meat","Warner, R. D.; Pethick, D. W.; Greenwood, P. L.; Ponnampalam, E. N.; Banks, R. G.; Hopkins, D. L.",CSIRO,2007.0,
80.0,"The influence of genetics, animal age and nutrition on lamb production - an integrated research program","Pethick, D. W.; Warner, R. D.; Banks, R. G.",CSIRO,2007.0,
81.0,Global Animal Health conference,unknown,PJB PUBLICATIONS LTD,2007.0,
82.0,Aggregation of measures to produce an overall assessment of animal welfare. Part 2: analysis of constraints,"Botreau, R.; Bracke, M. B. M.; Perny, P.; Butterworth, A.; Capdeville, J.; Van Reenen, C. G.; Veissier, I.",CAMBRIDGE UNIVERSITY PRESS,2007.0,
83.0,Aggregation of measures to produce an overall assessment of animal welfare. Part 1: a review of existing methods,"Botreau, R.; Bonde, M.; Butterworth, A.; Perny, P.; Bracke, M. B. M.; Capdeville, J.; Veissier, I.",CAMBRIDGE UNIVERSITY PRESS,2007.0,
84.0,Predicting the profile of nutrients available for absorption: from nutrient requirement to animal response and environmental impact,unknown,Cambridge University Press,2007.0,
85.0,"Corrigendum to ?쏞ollective movements, leadership and consensus costs at reunions in spotted hyaenas??[Animal Behaviour 105 (2015) 187??00]","Smith, Jennifer E.; Estrada, Jillian R.; Richards, Heather C.; Dawes, Stephanie E.; Mitsos, Kari; Holekamp, Kay E.","Elsevier Science B.V., Amsterdam",2016.0,
86.0,Featured Article in This Month's Animal Behaviour,"Foster, Susan A.; Sendova-Franks, Ana","Elsevier Science B.V., Amsterdam",2016.0,
87.0,Companion Animal Nutrition: An Industry Overview and a Research Update,"Fahey, G. C.",CANC,2007.0,
88.0,EU proposes new animal health strategy,unknown,PJB PUBLICATIONS LTD,2007.0,
89.0,Schering-Plough sells off animal health products in the EU,unknown,PJB PUBLICATIONS LTD,2008.0,
90.0,Companion animal welfare: raising the standards,unknown,PJB PUBLICATIONS LTD,2008.0,
91.0,Spanish pharma company targets animal health,unknown,PJB PUBLICATIONS LTD,2008.0,
92.0,US studies benefits of national animal ID system,unknown,PJB PUBLICATIONS LTD,2008.0,
93.0,Essential role for simulation models in animal research and application,"Pettigrew,  James E.",CSIRO PUBLISHING,2018.0,
94.0,"Nutritional principles, integration, modelling and research management to practical applications: an overview of John Langtree Black's contribution to animal science","Campbell,  Roger G.; Williams,  Ian H.",CSIRO PUBLISHING,2018.0,
95.0,Perspectives on animal research and its application,"Black,  J. L.",CSIRO PUBLISHING,2018.0,
96.0,Essential role of methyl donors in animal productivity,"Cronje,  P. B.",CSIRO PUBLISHING,2018.0,
97.0,Cancerous contradictions: The mis-regulation of human carcinogens based on animal data,"Knight, A.; Bailey, J.; Balcombe, J.",Elsevier,2006.0,
98.0,Contributions of the European OMCL network and biological standardisation programme to animal welfare,"Behr-Gross, M.-E.; Spieser, J.-M.",Elsevier,2006.0,
99.0,20th anniversary editorial: animal conservation 1998-2018,"Gordon, I. J.; Altwegg, R.; Evans, D. M.; Ewen, J. G.; Guillera?륚rroita, G.; Johnson, J. A.; Young, J. K.","John Wiley & Sons, Ltd",2018.0,
100.0,Global animal RFID market to grow to $6.5bn,unknown,PJB PUBLICATIONS LTD,2008.0,
1.0,Loan to improve animal health in Argentina,unknown,PJB PUBLICATIONS LTD,2008.0,
2.0,An evaluation of the international society for animal genetics recommended parentage and identification panel for the domestic pigeon (columba livia domestica),"Groot, M.; Haeringen, W. A.",Wiley-Blackwell,2017.0,
3.0,Cytogenetic tests for animal production: state of the art and perspectives,"Udroiu, I.; Sgura, A.",Wiley-Blackwell,2017.0,
4.0,More animal ID devices launched,unknown,PJB PUBLICATIONS LTD,2008.0,
5.0,UK to change animal pathogen regulation,unknown,PJB PUBLICATIONS LTD,2008.0,
6.0,DEFRA consults on animal health and welfare,unknown,PJB PUBLICATIONS LTD,2008.0,
7.0,Spain revamps animal health website,unknown,PJB PUBLICATIONS LTD,2008.0,
8.0,"Corrigendum to ?쏡o friends help each other? Patterns of female coalition formation in wild bonobos at Wamba??[Animal Behaviour, 119혻(2016), 27??5]","Tokuyama, Nahoko; Furuichi, Takeshi","Elsevier Science B.V., Amsterdam",2017.0,
9.0,Enhanced E. coli phytase at 2500 FTU improved piglet performance in both animal and plant protein-based diets,"Henman,  D. J.; O Halloran,  K.; Hogg,  J. N. E.; Wilcock,  P.; Doeschate,  R. A. H. M. ten; Kim,  J. C.",CSIRO PUBLISHING,2017.0,
10.0,Neurophysiological assessment of animal welfare,"Tilbrook,  A. J.; Ralph,  C. R.",CSIRO PUBLISHING,2017.0,
11.0,EU animal health strategy considered,unknown,PJB PUBLICATIONS LTD,2008.0,
12.0,Animal health alerts launched in UK,unknown,PJB PUBLICATIONS LTD,2008.0,
13.0,Europe's politicians and industry back vaccines for future animal disease control,unknown,PJB PUBLICATIONS LTD,2008.0,
14.0,Bayer to develop immuno products for animal health,unknown,PJB PUBLICATIONS LTD,2008.0,
15.0,Spain backs EU animal health priorities,unknown,PJB PUBLICATIONS LTD,2008.0,
